ids,label,COIPLUS Description,LCF CODE,Description,Divisional Code,Divisional Description,documents
14,1.1.1.2.2,"Buns, crispbread and biscuits",1.1.1.4.2,"            Crispbread, eg breadsticks, pretzels",1,Food and non-alcoholic beverages,"Buns, crispbread and biscuits,             Crispbread, eg breadsticks, pretzels, Food and non-alcoholic beverages"
15,1.1.1.2.2,"Buns, crispbread and biscuits",1.1.1.4.3,            Chocolate biscuits/ wafers ,1,Food and non-alcoholic beverages,"Buns, crispbread and biscuits,             Chocolate biscuits/ wafers , Food and non-alcoholic beverages"
16,1.1.1.2.2,"Buns, crispbread and biscuits",1.1.1.4.4,            Sweet biscuits & cereal bars ,1,Food and non-alcoholic beverages,"Buns, crispbread and biscuits,             Sweet biscuits & cereal bars , Food and non-alcoholic beverages"
17,1.1.1.2.2,"Buns, crispbread and biscuits",1.1.1.4.5,            Cream crackers & unsweetened biscuits ,1,Food and non-alcoholic beverages,"Buns, crispbread and biscuits,             Cream crackers & unsweetened biscuits , Food and non-alcoholic beverages"
18,1.1.1.5.1,Other breads and cereals,1.1.1.5.1,"            Oatmeal & oat products eg porridge oats, oatmeal, oatcakes",1,Food and non-alcoholic beverages,"Other breads and cereals,             Oatmeal & oat products eg porridge oats, oatmeal, oatcakes, Food and non-alcoholic beverages"
19,1.1.1.5.1,Other breads and cereals,1.1.1.5.2,            Muesli,1,Food and non-alcoholic beverages,"Other breads and cereals,             Muesli, Food and non-alcoholic beverages"
20,1.1.1.5.1,Other breads and cereals,1.1.1.5.3,            High fibre breakfast cereals,1,Food and non-alcoholic beverages,"Other breads and cereals,             High fibre breakfast cereals, Food and non-alcoholic beverages"
21,1.1.1.5.1,Other breads and cereals,1.1.1.5.4,            Sweetened breakfast cereals,1,Food and non-alcoholic beverages,"Other breads and cereals,             Sweetened breakfast cereals, Food and non-alcoholic beverages"
22,1.1.1.5.1,Other breads and cereals,1.1.1.5.5,            Other breakfast cereals,1,Food and non-alcoholic beverages,"Other breads and cereals,             Other breakfast cereals, Food and non-alcoholic beverages"
23,1.1.1.4.1,Cakes and puddings,1.1.1.6.1,"            Cakes & pastries - NOT FROZEN eg fruit cakes & pies, choc cakes",1,Food and non-alcoholic beverages,"Cakes and puddings,             Cakes & pastries - NOT FROZEN eg fruit cakes & pies, choc cakes, Food and non-alcoholic beverages"
24,1.1.1.4.1,Cakes and puddings,1.1.1.6.2,"            Cakes & pastries - FROZEN eg choc gateaux, apple pies",1,Food and non-alcoholic beverages,"Cakes and puddings,             Cakes & pastries - FROZEN eg choc gateaux, apple pies, Food and non-alcoholic beverages"
25,1.1.9.3.1,"Baker's yeast, dessert preparations, soups",1.1.1.6.3,"            Cake, pudding & dessert mixes eg custard powder",1,Food and non-alcoholic beverages,"Baker's yeast, dessert preparations, soups,             Cake, pudding & dessert mixes eg custard powder, Food and non-alcoholic beverages"
26,1.1.1.4.1,Cakes and puddings,1.1.1.6.4,"            Other puddings eg fruit pudding, sponge, Christmas pudding",1,Food and non-alcoholic beverages,"Cakes and puddings,             Other puddings eg fruit pudding, sponge, Christmas pudding, Food and non-alcoholic beverages"
27,1.1.4.6.1,Other milk products,1.1.1.6.5,            Canned or fresh carton custard,1,Food and non-alcoholic beverages,"Other milk products,             Canned or fresh carton custard, Food and non-alcoholic beverages"
28,1.1.1.5.1,Other breads and cereals,1.1.1.6.6,"            All canned milk puddings eg rice, macaroni, sago, tapioca",1,Food and non-alcoholic beverages,"Other breads and cereals,             All canned milk puddings eg rice, macaroni, sago, tapioca, Food and non-alcoholic beverages"
29,1.1.1.3.1,Pasta products,1.1.1.7.1,"            Canned pasta eg spaghetti hoops, ravioli",1,Food and non-alcoholic beverages,"Pasta products,             Canned pasta eg spaghetti hoops, ravioli, Food and non-alcoholic beverages"
30,1.1.1.3.1,Pasta products,1.1.1.7.2,"            Dried & fresh pasta, inc pasta salad, pasta & sauce",1,Food and non-alcoholic beverages,"Pasta products,             Dried & fresh pasta, inc pasta salad, pasta & sauce, Food and non-alcoholic beverages"
31,1.1.1.4.2,Pastry (savoury),1.1.1.7.3,            Pizza - frozen or non frozen,1,Food and non-alcoholic beverages,"Pastry (savoury),             Pizza - frozen or non frozen, Food and non-alcoholic beverages"
32,1.1.1.4.2,Pastry (savoury),1.1.1.7.4,            Quiches & flans - frozen or non frozen,1,Food and non-alcoholic beverages,"Pastry (savoury),             Quiches & flans - frozen or non frozen, Food and non-alcoholic beverages"
33,1.1.1.5.1,Other breads and cereals,1.1.1.7.5,"            Other convenience cereal foods eg pot noodles, pastry mix, sauce mix, casserole mix",1,Food and non-alcoholic beverages,"Other breads and cereals,             Other convenience cereal foods eg pot noodles, pastry mix, sauce mix, casserole mix, Food and non-alcoholic beverages"
34,1.1.1.1.1,Rice,1.1.1.8.1,            Dried rice,1,Food and non-alcoholic beverages,"Rice,             Dried rice, Food and non-alcoholic beverages"
35,1.1.1.1.1,Rice,1.1.1.8.2,            Cooked rice,1,Food and non-alcoholic beverages,"Rice,             Cooked rice, Food and non-alcoholic beverages"
36,1.1.1.5.1,Other breads and cereals,1.1.1.8.3,            Flour,1,Food and non-alcoholic beverages,"Other breads and cereals,             Flour, Food and non-alcoholic beverages"
37,1.1.1.5.1,Other breads and cereals,1.1.1.8.4,            Other cereals eg barley,1,Food and non-alcoholic beverages,"Other breads and cereals,             Other cereals eg barley, Food and non-alcoholic beverages"
38,1.1.2.1.1,"Beef (fresh, chilled or frozen)",1.1.2.1.1,            Beef joints inc on the bone,1,Food and non-alcoholic beverages,"Beef (fresh, chilled or frozen),             Beef joints inc on the bone, Food and non-alcoholic beverages"
39,1.1.2.1.1,"Beef (fresh, chilled or frozen)",1.1.2.1.2,"            Beef joints - boned eg topside, silverside, sirloin, brisket",1,Food and non-alcoholic beverages,"Beef (fresh, chilled or frozen),             Beef joints - boned eg topside, silverside, sirloin, brisket, Food and non-alcoholic beverages"
40,1.1.2.1.1,"Beef (fresh, chilled or frozen)",1.1.2.1.3,            Beef steak - less expensive eg stewing or braising steak,1,Food and non-alcoholic beverages,"Beef (fresh, chilled or frozen),             Beef steak - less expensive eg stewing or braising steak, Food and non-alcoholic beverages"
41,1.1.2.1.1,"Beef (fresh, chilled or frozen)",1.1.2.1.4,"            Beef steak - more expensive eg sirloin, rump, fillet, topside",1,Food and non-alcoholic beverages,"Beef (fresh, chilled or frozen),             Beef steak - more expensive eg sirloin, rump, fillet, topside, Food and non-alcoholic beverages"
42,1.1.2.1.1,"Beef (fresh, chilled or frozen)",1.1.2.1.5,"            Minced Beef/ Mince, type not specified",1,Food and non-alcoholic beverages,"Beef (fresh, chilled or frozen),             Minced Beef/ Mince, type not specified, Food and non-alcoholic beverages"
43,1.1.2.1.1,"Beef (fresh, chilled or frozen)",1.1.2.1.6,            All other beef and veal eg veal escalopes,1,Food and non-alcoholic beverages,"Beef (fresh, chilled or frozen),             All other beef and veal eg veal escalopes, Food and non-alcoholic beverages"
44,1.1.2.2.1,"Pork (fresh, chilled or frozen)",1.1.2.2.1,"            Pork joints, inc sides",1,Food and non-alcoholic beverages,"Pork (fresh, chilled or frozen),             Pork joints, inc sides, Food and non-alcoholic beverages"
45,1.1.2.2.1,"Pork (fresh, chilled or frozen)",1.1.2.2.2,            Pork chops,1,Food and non-alcoholic beverages,"Pork (fresh, chilled or frozen),             Pork chops, Food and non-alcoholic beverages"
46,1.1.2.2.1,"Pork (fresh, chilled or frozen)",1.1.2.2.3,            Pork fillets and steaks,1,Food and non-alcoholic beverages,"Pork (fresh, chilled or frozen),             Pork fillets and steaks, Food and non-alcoholic beverages"
47,1.1.2.2.1,"Pork (fresh, chilled or frozen)",1.1.2.2.4,            All other pork - uncooked,1,Food and non-alcoholic beverages,"Pork (fresh, chilled or frozen),             All other pork - uncooked, Food and non-alcoholic beverages"
48,1.1.2.5.2,Bacon and Ham,1.1.2.3.1,"            Bacon & ham joints, uncooked incl gammon steaks",1,Food and non-alcoholic beverages,"Bacon and Ham,             Bacon & ham joints, uncooked incl gammon steaks, Food and non-alcoholic beverages"
49,1.1.2.5.2,Bacon and Ham,1.1.2.3.2,"            Bacon & ham rashers incl back bacon, middle, streaky",1,Food and non-alcoholic beverages,"Bacon and Ham,             Bacon & ham rashers incl back bacon, middle, streaky, Food and non-alcoholic beverages"
50,1.1.2.3.1,"Lamb (fresh, chilled or frozen)",1.1.2.4.1,            Mutton,1,Food and non-alcoholic beverages,"Lamb (fresh, chilled or frozen),             Mutton, Food and non-alcoholic beverages"
51,1.1.2.3.1,"Lamb (fresh, chilled or frozen)",1.1.2.4.2,"            Lamb joints - incl sides, shoulder, leg",1,Food and non-alcoholic beverages,"Lamb (fresh, chilled or frozen),             Lamb joints - incl sides, shoulder, leg, Food and non-alcoholic beverages"
52,1.1.2.3.1,"Lamb (fresh, chilled or frozen)",1.1.2.4.3,"            Lamb chops - incl cutlets, fillets",1,Food and non-alcoholic beverages,"Lamb (fresh, chilled or frozen),             Lamb chops - incl cutlets, fillets, Food and non-alcoholic beverages"
53,1.1.2.3.1,"Lamb (fresh, chilled or frozen)",1.1.2.4.4,"            All other lamb eg minced, breast (NOT LAMB OFFAL eg NOT kidneys, liver, heart)",1,Food and non-alcoholic beverages,"Lamb (fresh, chilled or frozen),             All other lamb eg minced, breast (NOT LAMB OFFAL eg NOT kidneys, liver, heart), Food and non-alcoholic beverages"
54,1.1.2.4.1,"Poultry (fresh, chilled or frozen)",1.1.2.5.1,"            Chicken - whole or parts eg leg, breast, wing, quarter",1,Food and non-alcoholic beverages,"Poultry (fresh, chilled or frozen),             Chicken - whole or parts eg leg, breast, wing, quarter, Food and non-alcoholic beverages"
55,1.1.2.4.1,"Poultry (fresh, chilled or frozen)",1.1.2.5.2,"            Turkey - whole or parts eg mince, breast, steak, diced",1,Food and non-alcoholic beverages,"Poultry (fresh, chilled or frozen),             Turkey - whole or parts eg mince, breast, steak, diced, Food and non-alcoholic beverages"
56,1.1.2.4.1,"Poultry (fresh, chilled or frozen)",1.1.2.5.3,"            Poultry - other than chicken or turkey eg duck, pheasant, goose",1,Food and non-alcoholic beverages,"Poultry (fresh, chilled or frozen),             Poultry - other than chicken or turkey eg duck, pheasant, goose, Food and non-alcoholic beverages"
57,1.1.2.5.3,"Offal, pate etc",1.1.2.6.1,            Ox liver,1,Food and non-alcoholic beverages,"Offal, pate etc,             Ox liver, Food and non-alcoholic beverages"
58,1.1.2.5.3,"Offal, pate etc",1.1.2.6.2,            Lambs liver,1,Food and non-alcoholic beverages,"Offal, pate etc,             Lambs liver, Food and non-alcoholic beverages"
59,1.1.2.5.3,"Offal, pate etc",1.1.2.6.3,            Pigs liver,1,Food and non-alcoholic beverages,"Offal, pate etc,             Pigs liver, Food and non-alcoholic beverages"
60,1.1.2.5.3,"Offal, pate etc",1.1.2.6.4,"            All other liver eg calf liver, chicken liver",1,Food and non-alcoholic beverages,"Offal, pate etc,             All other liver eg calf liver, chicken liver, Food and non-alcoholic beverages"
61,1.1.2.5.3,"Offal, pate etc",1.1.2.6.5,"            All offal other than liver eg kidney, heart, tripe, brain, sweetbread, tongue, oxtail, trotters",1,Food and non-alcoholic beverages,"Offal, pate etc,             All offal other than liver eg kidney, heart, tripe, brain, sweetbread, tongue, oxtail, trotters, Food and non-alcoholic beverages"
62,1.1.2.7.1,"Other fresh, chilled or frozen edible meat",1.1.2.7.1,"            Other fresh/chilled/frozen meat - eg rabbit, venison",1,Food and non-alcoholic beverages,"Other fresh, chilled or frozen edible meat,             Other fresh/chilled/frozen meat - eg rabbit, venison, Food and non-alcoholic beverages"
63,1.1.2.5.1,Sausages,1.1.2.8.1,            Sausages (uncooked) - pork; pork or beef not specified,1,Food and non-alcoholic beverages,"Sausages,             Sausages (uncooked) - pork; pork or beef not specified, Food and non-alcoholic beverages"
64,1.1.2.5.1,Sausages,1.1.2.8.2,"            Sausages (uncooked) - beef inc pork & beef, turkey sausages",1,Food and non-alcoholic beverages,"Sausages,             Sausages (uncooked) - beef inc pork & beef, turkey sausages, Food and non-alcoholic beverages"
65,1.1.2.5.1,Sausages,1.1.2.8.3,"            Delicatessen type sausages (cooked or uncooked) eg liver sausage, salami, frankfurter, polony, saveloy, garlic sausage",1,Food and non-alcoholic beverages,"Sausages,             Delicatessen type sausages (cooked or uncooked) eg liver sausage, salami, frankfurter, polony, saveloy, garlic sausage, Food and non-alcoholic beverages"
66,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.8.4,            Burgers - frozen & non-frozen - not takeaway,1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Burgers - frozen & non-frozen - not takeaway, Food and non-alcoholic beverages"
67,1.1.2.5.3,"Offal, pate etc",1.1.2.9.1,            Pate,1,Food and non-alcoholic beverages,"Offal, pate etc,             Pate, Food and non-alcoholic beverages"
68,1.1.2.5.3,"Offal, pate etc",1.1.2.9.2,            Meat pastes and spreads,1,Food and non-alcoholic beverages,"Offal, pate etc,             Meat pastes and spreads, Food and non-alcoholic beverages"
69,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.10.1,            Corned beef - canned or sliced,1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Corned beef - canned or sliced, Food and non-alcoholic beverages"
70,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.10.2,"            Other canned meat & canned meat products eg ham, ham & pork, chopped pork, steak, luncheon meat, Irish stew, sausage & beans",1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Other canned meat & canned meat products eg ham, ham & pork, chopped pork, steak, luncheon meat, Irish stew, sausage & beans, Food and non-alcoholic beverages"
71,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.11.1,"            Cooked chicken/ turkey eg chicken slices, turkey slices",1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Cooked chicken/ turkey eg chicken slices, turkey slices, Food and non-alcoholic beverages"
72,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.11.2,"            Cooked ham & bacon eg sliced ham, honey roast ham, cooked bacon joint",1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Cooked ham & bacon eg sliced ham, honey roast ham, cooked bacon joint, Food and non-alcoholic beverages"
73,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.11.3,"            Other cooked meat eg luncheon meat, tongue, roast pork, pressed beef",1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Other cooked meat eg luncheon meat, tongue, roast pork, pressed beef, Food and non-alcoholic beverages"
74,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.11.4,            Rotisserie Chicken,1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Rotisserie Chicken, Food and non-alcoholic beverages"
75,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.12.1,            Sausage rolls - FRESH NOT FROZEN ,1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Sausage rolls - FRESH NOT FROZEN , Food and non-alcoholic beverages"
76,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.12.2,"            Meat pies, FRESH NOT FROZEN ",1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Meat pies, FRESH NOT FROZEN , Food and non-alcoholic beverages"
77,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.12.3,"            Meat pies, pasties & puddings - FRESH AND FROZEN ",1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Meat pies, pasties & puddings - FRESH AND FROZEN , Food and non-alcoholic beverages"
78,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.13.1,            Complete ready meals - FRESH AND FROZEN ,1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Complete ready meals - FRESH AND FROZEN , Food and non-alcoholic beverages"
79,1.1.2.6.1,Other preserved or processed meat and meat preparations,1.1.2.13.2,            Other convenience meat products FROZEN OR NOT FROZEN ,1,Food and non-alcoholic beverages,"Other preserved or processed meat and meat preparations,             Other convenience meat products FROZEN OR NOT FROZEN , Food and non-alcoholic beverages"
80,1.1.3.1.1,"Fresh, chilled or frozen fish",1.1.3.1.1,            White fish - fresh or chilled,1,Food and non-alcoholic beverages,"Fresh, chilled or frozen fish,             White fish - fresh or chilled, Food and non-alcoholic beverages"
81,1.1.3.1.1,"Fresh, chilled or frozen fish",1.1.3.1.2,"            White fish - frozen eg cod, haddock, hake, plaice, lemon sole",1,Food and non-alcoholic beverages,"Fresh, chilled or frozen fish,             White fish - frozen eg cod, haddock, hake, plaice, lemon sole, Food and non-alcoholic beverages"
82,1.1.3.1.1,"Fresh, chilled or frozen fish",1.1.3.2.1,            Salmon - fresh or chilled,1,Food and non-alcoholic beverages,"Fresh, chilled or frozen fish,             Salmon - fresh or chilled, Food and non-alcoholic beverages"
83,1.1.3.1.1,"Fresh, chilled or frozen fish",1.1.3.2.2,            Salmon - frozen,1,Food and non-alcoholic beverages,"Fresh, chilled or frozen fish,             Salmon - frozen, Food and non-alcoholic beverages"
84,1.1.3.1.1,"Fresh, chilled or frozen fish",1.1.3.2.3,            Herrings & other blue fish - fresh or chilled,1,Food and non-alcoholic beverages,"Fresh, chilled or frozen fish,             Herrings & other blue fish - fresh or chilled, Food and non-alcoholic beverages"
85,1.1.3.1.1,"Fresh, chilled or frozen fish",1.1.3.2.4,            Herrings & other blue fish - frozen,1,Food and non-alcoholic beverages,"Fresh, chilled or frozen fish,             Herrings & other blue fish - frozen, Food and non-alcoholic beverages"
86,1.1.3.2.1,"Fresh, chilled or frozen seafood",1.1.3.3.1,            Shellfish - fresh or chilled IGNORE WHETHER COOKED OR UNCOOKED,1,Food and non-alcoholic beverages,"Fresh, chilled or frozen seafood,             Shellfish - fresh or chilled IGNORE WHETHER COOKED OR UNCOOKED, Food and non-alcoholic beverages"
87,1.1.3.2.1,"Fresh, chilled or frozen seafood",1.1.3.3.2,            Shellfish - frozen IGNORE WHETHER COOKED OR UNCOOKED ,1,Food and non-alcoholic beverages,"Fresh, chilled or frozen seafood,             Shellfish - frozen IGNORE WHETHER COOKED OR UNCOOKED , Food and non-alcoholic beverages"
88,1.1.3.3.1,"Dried, smoked or salted fish and seafood",1.1.3.4.1,"            White fish eg cod, haddock, etc incl crabsticks, dried shrimp",1,Food and non-alcoholic beverages,"Dried, smoked or salted fish and seafood,             White fish eg cod, haddock, etc incl crabsticks, dried shrimp, Food and non-alcoholic beverages"
89,1.1.3.3.1,"Dried, smoked or salted fish and seafood",1.1.3.4.2,"            Blue fish eg smoked salmon, smoked mackerel, kippers, pickled herring",1,Food and non-alcoholic beverages,"Dried, smoked or salted fish and seafood,             Blue fish eg smoked salmon, smoked mackerel, kippers, pickled herring, Food and non-alcoholic beverages"
90,1.1.3.4.1,Other preserved or processed fish and seafood and fish and seafood preparations,1.1.3.5.1,            Tinned salmon,1,Food and non-alcoholic beverages,"Other preserved or processed fish and seafood and fish and seafood preparations,             Tinned salmon, Food and non-alcoholic beverages"
91,1.1.3.4.1,Other preserved or processed fish and seafood and fish and seafood preparations,1.1.3.5.2,"            Other tinned or bottled fish/seafood eg sardines, tuna, caviar",1,Food and non-alcoholic beverages,"Other preserved or processed fish and seafood and fish and seafood preparations,             Other tinned or bottled fish/seafood eg sardines, tuna, caviar, Food and non-alcoholic beverages"
92,1.1.3.4.1,Other preserved or processed fish and seafood and fish and seafood preparations,1.1.3.6.1,"            All fish ready meals & other fish products eg fish pie, fish fingers, fish cakes, fish paste, jellied eels, prawn curry, prawn biriani, tuna & pasta bake, seafood pasta",1,Food and non-alcoholic beverages,"Other preserved or processed fish and seafood and fish and seafood preparations,             All fish ready meals & other fish products eg fish pie, fish fingers, fish cakes, fish paste, jellied eels, prawn curry, prawn biriani, tuna & pasta bake, seafood pasta, Food and non-alcoholic beverages"
93,1.1.4.1.1,Whole milk,1.1.4.1.1,            Pasteurised & homogenised (whole milk only),1,Food and non-alcoholic beverages,"Whole milk,             Pasteurised & homogenised (whole milk only), Food and non-alcoholic beverages"
94,1.1.4.1.1,Whole milk,1.1.4.1.2,            Sterilised (whole milk only),1,Food and non-alcoholic beverages,"Whole milk,             Sterilised (whole milk only), Food and non-alcoholic beverages"
95,1.1.4.1.1,Whole milk,1.1.4.1.3,            UHT milk (whole milk only),1,Food and non-alcoholic beverages,"Whole milk,             UHT milk (whole milk only), Food and non-alcoholic beverages"
96,1.1.4.1.1,Whole milk,1.1.4.1.4,            School milk,1,Food and non-alcoholic beverages,"Whole milk,             School milk, Food and non-alcoholic beverages"
97,1.1.4.1.1,Whole milk,1.1.4.1.5,            Welfare milk,1,Food and non-alcoholic beverages,"Whole milk,             Welfare milk, Food and non-alcoholic beverages"
98,1.1.4.2.1,Low fat milk,1.1.4.2.1,            Fully-skimmed milk - incl UHT & sterilised fully skimmed,1,Food and non-alcoholic beverages,"Low fat milk,             Fully-skimmed milk - incl UHT & sterilised fully skimmed, Food and non-alcoholic beverages"
99,1.1.4.2.1,Low fat milk,1.1.4.2.2,            Semi-skimmed milk - incl UHT & sterilised semi-skimmed,1,Food and non-alcoholic beverages,"Low fat milk,             Semi-skimmed milk - incl UHT & sterilised semi-skimmed, Food and non-alcoholic beverages"
100,1.1.4.3.1,Preserved milk,1.1.4.3.1,            Condensed & evaporated milk,1,Food and non-alcoholic beverages,"Preserved milk,             Condensed & evaporated milk, Food and non-alcoholic beverages"
101,1.1.4.3.1,Preserved milk,1.1.4.3.2,            Infant & baby milk - READY TO DRINK (sold by volume,1,Food and non-alcoholic beverages,"Preserved milk,             Infant & baby milk - READY TO DRINK (sold by volume, Food and non-alcoholic beverages"
102,1.1.4.3.1,Preserved milk,1.1.4.3.3,            Infant & baby milk - DRIED (sold by weight),1,Food and non-alcoholic beverages,"Preserved milk,             Infant & baby milk - DRIED (sold by weight), Food and non-alcoholic beverages"
103,1.1.4.3.1,Preserved milk,1.1.4.3.4,            Instant dried milk eg Marvel,1,Food and non-alcoholic beverages,"Preserved milk,             Instant dried milk eg Marvel, Food and non-alcoholic beverages"
104,1.1.4.6.1,Other milk products,1.1.4.3.5,            Dried milk products eg powdered milkshake mixes,1,Food and non-alcoholic beverages,"Other milk products,             Dried milk products eg powdered milkshake mixes, Food and non-alcoholic beverages"
105,1.1.4.4.1,Yoghurt,1.1.4.4.1,"            All yoghurt (incl twinpots, yoghurt drinks) except FROZEN YOGHURT",1,Food and non-alcoholic beverages,"Yoghurt,             All yoghurt (incl twinpots, yoghurt drinks) except FROZEN YOGHURT, Food and non-alcoholic beverages"
106,1.1.4.6.1,Other milk products,1.1.4.4.2,            All Fromage Frais,1,Food and non-alcoholic beverages,"Other milk products,             All Fromage Frais, Food and non-alcoholic beverages"
107,1.1.4.5.1,Cheese and curd,1.1.4.5.1,            Hard cheese - cheddar type,1,Food and non-alcoholic beverages,"Cheese and curd,             Hard cheese - cheddar type, Food and non-alcoholic beverages"
108,1.1.4.5.1,Cheese and curd,1.1.4.5.2,"            Hard cheese - other UK or foreign equivalent eg Cheshire, Caerphilly",1,Food and non-alcoholic beverages,"Cheese and curd,             Hard cheese - other UK or foreign equivalent eg Cheshire, Caerphilly, Food and non-alcoholic beverages"
109,1.1.4.5.1,Cheese and curd,1.1.4.5.3,            Hard Cheese - Edam or other foreign,1,Food and non-alcoholic beverages,"Cheese and curd,             Hard Cheese - Edam or other foreign, Food and non-alcoholic beverages"
110,1.1.4.5.1,Cheese and curd,1.1.4.5.4,            Cottage cheese incl flavoured,1,Food and non-alcoholic beverages,"Cheese and curd,             Cottage cheese incl flavoured, Food and non-alcoholic beverages"
111,1.1.4.5.1,Cheese and curd,1.1.4.5.5,            Soft natural cheese,1,Food and non-alcoholic beverages,"Cheese and curd,             Soft natural cheese, Food and non-alcoholic beverages"
112,1.1.4.5.1,Cheese and curd,1.1.4.5.6,"            Processed cheese, cheese spreads & cheese products",1,Food and non-alcoholic beverages,"Cheese and curd,             Processed cheese, cheese spreads & cheese products, Food and non-alcoholic beverages"
113,1.1.4.6.1,Other milk products,1.1.4.6.1,"            Cream incl single, double, whipping, clotted",1,Food and non-alcoholic beverages,"Other milk products,             Cream incl single, double, whipping, clotted, Food and non-alcoholic beverages"
114,1.1.4.6.1,Other milk products,1.1.4.6.2,            Imitation cream & other fats,1,Food and non-alcoholic beverages,"Other milk products,             Imitation cream & other fats, Food and non-alcoholic beverages"
115,1.1.4.6.1,Other milk products,1.1.4.6.3,"            Dairy desserts - not frozen eg mousse, trifle, cheesecake",1,Food and non-alcoholic beverages,"Other milk products,             Dairy desserts - not frozen eg mousse, trifle, cheesecake, Food and non-alcoholic beverages"
116,1.1.4.6.1,Other milk products,1.1.4.6.4,"            Milk drinks & other READY TO DRINK milks eg buttermilk, flavoured milk, goats milk, milkshakes",1,Food and non-alcoholic beverages,"Other milk products,             Milk drinks & other READY TO DRINK milks eg buttermilk, flavoured milk, goats milk, milkshakes, Food and non-alcoholic beverages"
117,1.1.4.6.1,Other milk products,1.1.4.6.5,            Non-dairy milk substitutes,1,Food and non-alcoholic beverages,"Other milk products,             Non-dairy milk substitutes, Food and non-alcoholic beverages"
